"Story","Title","Result","Date","Stability","Duration (s)"
"Credential issuance process for the same device","User selects to issue a credential","SUCCESS","2024-10-08T14:37:51.273168+03:00[Europe/Athens]","0.0","51.84"
"Credential issuance process for the same device","User proceeds with the credential issuance","SUCCESS","2024-10-08T14:38:43.120834+03:00[Europe/Athens]","0.0","48.99"
"Credential issuance process for the same device","User authenticates and consents to the issuance","SUCCESS","2024-10-08T14:39:32.127767+03:00[Europe/Athens]","0.0","70.12"
"Credential issuance process for the same device","User views the issued credential in the EUDI Wallet","SUCCESS","2024-10-08T14:40:42.258309+03:00[Europe/Athens]","0.0","69.51"
"Deleting a mDL document","User enters PIN and selects a mDL","SUCCESS","2024-10-08T14:46:31.150481+03:00[Europe/Athens]","0.0","41.42"
"Deleting a mDL document","User deletes the document","SUCCESS","2024-10-08T14:47:12.581724+03:00[Europe/Athens]","0.0","44.79"
"Request/Issue mDL","Log in successfully","SUCCESS","2024-10-08T14:53:06.213073+03:00[Europe/Athens]","0.0","40.43"
"Request/Issue mDL","Select document for issuance","SUCCESS","2024-10-08T16:05:29.674105+03:00[Europe/Athens]","0.0","26.1"
"Request/Issue mDL","Country and credential provider selection","SUCCESS","2024-10-08T16:05:55.780497+03:00[Europe/Athens]","0.0","32.98"
"Request/Issue mDL","Register personal data and view driving license","SUCCESS","2024-10-08T16:06:28.766749+03:00[Europe/Athens]","0.0","64.36"
"Request/Issue PID","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T16:07:33.140336+03:00[Europe/Athens]","0.0","40.08"
"Request/Issue PID","Add document via national ID","SUCCESS","2024-10-08T16:08:13.231083+03:00[Europe/Athens]","0.0","29.86"
"Request/Issue PID","Enter data and display national ID","SUCCESS","2024-10-08T16:10:02.617179+03:00[Europe/Athens]","0.0","53.15"
"Request/Issue PID","Select authentication method and enter data","SUCCESS","2024-10-08T16:16:09.229747+03:00[Europe/Athens]","0.0","34.19"
"Selective Disclosure","View Requested Data from Verifier","SUCCESS","2024-10-08T14:59:36.414036+03:00[Europe/Athens]","0.0","50.71"
"Selective Disclosure","View Actual Values of Requested Data","SUCCESS","2024-10-08T15:00:27.134002+03:00[Europe/Athens]","0.0","50.76"
"Selective Disclosure","Expand Verification Section","SUCCESS","2024-10-08T15:01:17.906659+03:00[Europe/Athens]","0.0","49.75"
"Selective Disclosure","Unselect Some Data","SUCCESS","2024-10-08T15:02:07.669101+03:00[Europe/Athens]","0.0","50.61"
"Selective Disclosure","Initiate Sharing Process","SUCCESS","2024-10-08T15:02:58.290666+03:00[Europe/Athens]","0.0","52.29"
"Selective Disclosure","Enter PIN Correctly for Data Sharing","SUCCESS","2024-10-08T15:03:50.587743+03:00[Europe/Athens]","0.0","56.96"
"Dashboard display","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:04:47.566645+03:00[Europe/Athens]","0.0","39.09"
"Dashboard display","User views issued documents on the dashboard","SUCCESS","2024-10-08T15:05:26.672413+03:00[Europe/Athens]","0.0","41.59"
"View mDL document","User closes the mDL document and returns to the dashboard","SUCCESS","2024-10-08T15:07:34.389937+03:00[Europe/Athens]","0.0","45.57"
"View mDL document","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T16:10:55.781156+03:00[Europe/Athens]","0.0","40.05"
"View mDL document","User opens the mDL document from the dashboard","SUCCESS","2024-10-08T16:11:35.836488+03:00[Europe/Athens]","0.0","44.92"
"View PID document","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:08:19.967076+03:00[Europe/Athens]","0.0","42.2"
"View PID document","User opens the PID document from the dashboard","SUCCESS","2024-10-08T16:16:43.431864+03:00[Europe/Athens]","0.0","43.51"
"View PID document","User closes the PID document and returns to the dashboard","SUCCESS","2024-10-08T16:17:26.957258+03:00[Europe/Athens]","0.0","45.74"
"Credential issuance process for the same device","User selects to issue a credential","SUCCESS","2024-10-08T15:21:55.06535+03:00[Europe/Athens]","0.0","58.42"
"Credential issuance process for the same device","User proceeds with the credential issuance","SUCCESS","2024-10-08T15:22:53.500546+03:00[Europe/Athens]","0.0","62.93"
"Credential issuance process for the same device","User authenticates and consents to the issuance","SUCCESS","2024-10-08T15:23:56.444765+03:00[Europe/Athens]","0.0","102.7"
"Credential issuance process for the same device","User views the issued credential in the EUDI Wallet","SUCCESS","2024-10-08T15:25:39.155842+03:00[Europe/Athens]","0.0","102.85"
"Deleting a mDL document","User enters PIN and selects a mDL","SUCCESS","2024-10-08T15:32:26.781648+03:00[Europe/Athens]","0.0","40.64"
"Deleting a mDL document","User deletes the document","SUCCESS","2024-10-08T15:33:07.430292+03:00[Europe/Athens]","0.0","43.39"
"Request/Issue mDL","Log in successfully","SUCCESS","2024-10-08T15:42:07.402355+03:00[Europe/Athens]","0.0","38.07"
"Request/Issue mDL","Select document for issuance","SUCCESS","2024-10-08T15:42:45.477911+03:00[Europe/Athens]","0.0","29.85"
"Request/Issue mDL","Country and credential provider selection","SUCCESS","2024-10-08T15:43:15.343772+03:00[Europe/Athens]","0.0","44.21"
